Date,Name,Year,Letterboxd URI
2021-12-28,Spider-Man 2,2004,https://boxd.it/2a88
2021-12-29,Spider-Man 3,2007,https://boxd.it/2a7Y
2021-12-31,Encanto,2021,https://boxd.it/kPRu
2022-01-20,The House,2022,https://boxd.it/yVza
2022-01-25,The Conference,2022,https://boxd.it/ydjs
2022-01-28,Another Round,2020,https://boxd.it/lkba
2022-02-16,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2022-02-19,Wonder Woman,2017,https://boxd.it/9roG
2022-02-19,Little Miss Sunshine,2006,https://boxd.it/29EW
2022-02-20,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq
2022-02-25,Hannah Gadsby: Douglas,2020,https://boxd.it/nHni
2022-03-10,Aquaman,2018,https://boxd.it/9ru0
2022-03-12,The Batman,2022,https://boxd.it/eDGs
2022-03-15,Shazam!,2019,https://boxd.it/8WBu
2022-03-16,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2022-03-19,Fright Night,2011,https://boxd.it/l1S
2022-03-26,Wonder Woman 1984,2020,https://boxd.it/gBtA
2022-03-27,Bo Burnham: What.,2013,https://boxd.it/7au4
2022-03-27,Bo Burnham: Make Happy,2016,https://boxd.it/e436
2022-04-06,Life of Pi,2012,https://boxd.it/37pC
2022-04-13,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG
2022-04-25,What We Do in the Shadows,2014,https://boxd.it/7eQy
2022-04-30,The Suicide Squad,2021,https://boxd.it/fw6O
2022-05-04,In My Skin,2002,https://boxd.it/283A
2022-05-11,Sherlock: A Study in Pink,2010,https://boxd.it/mueU
2022-05-11,Sherlock: The Blind Banker,2010,https://boxd.it/mwHY
2022-05-11,Sherlock: The Great Game,2010,https://boxd.it/mwRa
2022-05-12,Sherlock: The Hounds of Baskerville,2012,https://boxd.it/mwHu
2022-05-13,Sherlock: The Reichenbach Fall,2012,https://boxd.it/mwV2
2022-05-15,Sherlock: The Empty Hearse,2014,https://boxd.it/mwIM
2022-05-16,Sherlock: The Sign of Three,2014,https://boxd.it/mwSs
2022-05-16,Sherlock: His Last Vow,2014,https://boxd.it/wls4
2022-05-17,Sherlock: The Abominable Bride,2016,https://boxd.it/dbTQ
2022-05-19,Sherlock: The Lying Detective,2017,https://boxd.it/uBH6
2022-05-24,Prehistoric Planet,2022,https://boxd.it/B2KS
2022-06-02,Bo Burnham: The Inside Outtakes,2022,https://boxd.it/C0h2
