subject	predicate	object
castPair455	schema:actor	person27972
castPair456	schema:actor	person27972
castPair457	schema:actor	person28637
castPair458	schema:actor	person28637
castPair459	schema:actor	person28637
castPair460	schema:actor	person28637
castPair461	schema:actor	person2882
castPair462	schema:actor	person2882
castPair463	schema:actor	person2954
castPair464	schema:actor	person2954
castPair465	schema:actor	person2954
castPair466	schema:actor	person2954
castPair467	schema:actor	person2954
castPair468	schema:actor	person2975
castPair469	schema:actor	person2975
castPair470	schema:actor	person2983
castPair471	schema:actor	person3
castPair472	schema:actor	person3
castPair473	schema:actor	person30082
castPair474	schema:actor	person30315
castPair475	schema:actor	person3061
castPair476	schema:actor	person3063
castPair477	schema:actor	person31531
castPair478	schema:actor	person31531
castPair479	schema:actor	person31531
castPair480	schema:actor	person31531
castPair481	schema:actor	person31549
castPair482	schema:actor	person31549
castPair483	schema:actor	person31549
castPair484	schema:actor	person3223
castPair485	schema:actor	person3223
castPair486	schema:actor	person32895
castPair487	schema:actor	person32895
castPair488	schema:actor	person32895
castPair489	schema:actor	person34199
castPair490	schema:actor	person34199
castPair491	schema:actor	person34199
castPair492	schema:actor	person34199
castPair493	schema:actor	person34199
castPair494	schema:actor	person34398
castPair495	schema:actor	person34398
castPair496	schema:actor	person34398
castPair497	schema:actor	person34398
castPair498	schema:actor	person34521
castPair499	schema:actor	person34521
castPair500	schema:actor	person34982
castPair501	schema:actor	person34982
castPair502	schema:actor	person34982
castPair503	schema:actor	person34982
castPair504	schema:actor	person34982
castPair505	schema:actor	person34982
castPair506	schema:actor	person34982
castPair507	schema:actor	person34982
castPair508	schema:actor	person34982
castPair509	schema:actor	person34982
castPair510	schema:actor	person34983
castPair511	schema:actor	person34983
castPair512	schema:actor	person34983
castPair513	schema:actor	person34983
castPair514	schema:actor	person34983
castPair515	schema:actor	person34983
castPair516	schema:actor	person35109
castPair517	schema:actor	person35109
castPair518	schema:actor	person35109
castPair519	schema:actor	person35109
castPair520	schema:actor	person35224
castPair521	schema:actor	person35224
castPair522	schema:actor	person35224
castPair523	schema:actor	person37034
castPair524	schema:actor	person37034
castPair525	schema:actor	person37035
castPair526	schema:actor	person37632
castPair527	schema:actor	person37632
castPair528	schema:actor	person37632
castPair529	schema:actor	person378
castPair530	schema:actor	person3796
castPair531	schema:actor	person3894
castPair532	schema:actor	person3894
castPair533	schema:actor	person3895
castPair534	schema:actor	person4
castPair535	schema:actor	person4
castPair536	schema:actor	person40325
castPair537	schema:actor	person40325
castPair538	schema:actor	person40325
castPair539	schema:actor	person40325
castPair540	schema:actor	person40325
castPair541	schema:actor	person40325
castPair542	schema:actor	person40325
castPair543	schema:actor	person40325
castPair544	schema:actor	person40325
castPair545	schema:actor	person41091
castPair546	schema:actor	person41091
castPair547	schema:actor	person41091
castPair548	schema:actor	person4173
castPair549	schema:actor	person4173
castPair550	schema:actor	person43125
castPair551	schema:actor	person43125
castPair552	schema:actor	person43125
castPair553	schema:actor	person43125
castPair554	schema:actor	person43125
castPair555	schema:actor	person43125
castPair556	schema:actor	person44052
castPair557	schema:actor	person44052
castPair558	schema:actor	person44052
castPair559	schema:actor	person44052
castPair560	schema:actor	person44052
castPair561	schema:actor	person4483
castPair562	schema:actor	person449
castPair563	schema:actor	person449
castPair564	schema:actor	person4566
castPair565	schema:actor	person4566
castPair566	schema:actor	person4566
castPair567	schema:actor	person46029
castPair568	schema:actor	person4783
castPair569	schema:actor	person51329
castPair570	schema:actor	person51329
castPair571	schema:actor	person51329
castPair572	schema:actor	person51329
castPair573	schema:actor	person524
castPair574	schema:actor	person53
castPair575	schema:actor	person530
castPair576	schema:actor	person5309
castPair577	schema:actor	person543261
castPair578	schema:actor	person543261
castPair579	schema:actor	person543261
castPair580	schema:actor	person543530
castPair581	schema:actor	person543530
castPair582	schema:actor	person5469
castPair583	schema:actor	person54691
castPair584	schema:actor	person55636
castPair585	schema:actor	person55636
castPair586	schema:actor	person55636
castPair587	schema:actor	person55636
castPair588	schema:actor	person56551
castPair589	schema:actor	person5723
castPair590	schema:actor	person5723
castPair591	schema:actor	person5724
castPair592	schema:actor	person5726
castPair593	schema:actor	person5726
castPair594	schema:actor	person5726
castPair595	schema:actor	person57711
castPair596	schema:actor	person57711
castPair597	schema:actor	person57711
castPair598	schema:actor	person57711
castPair599	schema:actor	person57713
castPair600	schema:actor	person57713
castPair601	schema:actor	person57714
castPair602	schema:actor	person57714
castPair603	schema:actor	person57715
castPair604	schema:actor	person57755
castPair605	schema:actor	person57755
castPair606	schema:actor	person57755
castPair607	schema:actor	person586496
castPair608	schema:actor	person586496
castPair609	schema:actor	person586496
castPair610	schema:actor	person58873
castPair611	schema:actor	person58873
castPair612	schema:actor	person6
castPair613	schema:actor	person6384
castPair614	schema:actor	person6574
castPair615	schema:actor	person6574
castPair616	schema:actor	person6574
castPair617	schema:actor	person6730
castPair618	schema:actor	person6730
castPair619	schema:actor	person6941
castPair620	schema:actor	person7060
castPair621	schema:actor	person70615
castPair622	schema:actor	person70615
castPair623	schema:actor	person71447
castPair624	schema:actor	person71447
castPair625	schema:actor	person71580
castPair626	schema:actor	person72129
castPair627	schema:actor	person72129
castPair628	schema:actor	person73457
castPair629	schema:actor	person73457
castPair630	schema:actor	person73968
castPair631	schema:actor	person73968
castPair632	schema:actor	person73968
castPair633	schema:actor	person7399
castPair634	schema:actor	person7399
castPair635	schema:actor	person74568
castPair636	schema:actor	person77795
castPair637	schema:actor	person77927
castPair638	schema:actor	person77927
castPair639	schema:actor	person77927
castPair640	schema:actor	person77927
castPair641	schema:actor	person77927
castPair642	schema:actor	person77927
castPair643	schema:actor	person77927
castPair644	schema:actor	person77927
castPair645	schema:actor	person77931
castPair646	schema:actor	person77931
castPair647	schema:actor	person77931
castPair648	schema:actor	person77931
castPair649	schema:actor	person77931
castPair650	schema:actor	person77931
castPair651	schema:actor	person77931
castPair652	schema:actor	person77933
castPair653	schema:actor	person77933
castPair654	schema:actor	person77933
castPair655	schema:actor	person77933
castPair656	schema:actor	person77933
castPair657	schema:actor	person77934
castPair658	schema:actor	person77934
castPair659	schema:actor	person77934
castPair660	schema:actor	person77934
castPair661	schema:actor	person78798
castPair662	schema:actor	person79020
castPair663	schema:actor	person81244
castPair664	schema:actor	person81244
castPair665	schema:actor	person83768
castPair666	schema:actor	person83768
castPair667	schema:actor	person84507
castPair668	schema:actor	person84507
castPair669	schema:actor	person880
castPair670	schema:actor	person880
castPair671	schema:actor	person90633
castPair672	schema:actor	person90633
castPair673	schema:actor	person9281
castPair674	schema:actor	person93803
castPair1	schema:actor	person1315036
castPair2	schema:actor	person2
castPair3	schema:actor	person236695
castPair4	schema:actor	person25072
castPair5	schema:actor	person4
castPair6	schema:actor	person93210
castPair7	schema:actor	person1245
castPair8	schema:actor	person16828
castPair9	schema:actor	person17604
castPair10	schema:actor	person1896
castPair11	schema:actor	person3223
castPair12	schema:actor	person71580
castPair13	schema:actor	person74568
castPair14	schema:actor	person1063
castPair15	schema:actor	person1065
castPair16	schema:actor	person521
castPair17	schema:actor	person1065
castPair18	schema:actor	person521
castPair19	schema:actor	person85
castPair20	schema:actor	person521
castPair21	schema:actor	person8930
castPair22	schema:actor	person1109702
castPair23	schema:actor	person122750
castPair24	schema:actor	person54882
castPair25	schema:actor	person110
castPair26	schema:actor	person1327
castPair27	schema:actor	person1328
castPair28	schema:actor	person1330
castPair29	schema:actor	person10989
castPair30	schema:actor	person10990
castPair31	schema:actor	person10993
castPair32	schema:actor	person1283
castPair33	schema:actor	person1923
castPair34	schema:actor	person4566
castPair35	schema:actor	person5469
castPair36	schema:actor	person5658
castPair37	schema:actor	person10990
castPair38	schema:actor	person10993
castPair39	schema:actor	person1283
castPair40	schema:actor	person1923
castPair41	schema:actor	person4566
castPair42	schema:actor	person5469
castPair43	schema:actor	person5658
castPair44	schema:actor	person10993
castPair45	schema:actor	person1283
castPair46	schema:actor	person1923
castPair47	schema:actor	person4566
castPair48	schema:actor	person5469
castPair49	schema:actor	person5658
castPair50	schema:actor	person1923
castPair51	schema:actor	person4566
