subject	predicate	object
movie10191	ex:featuresStrongCastPair	castPair426
movie10191	ex:featuresStrongCastPair	castPair428
movie10191	ex:featuresStrongCastPair	castPair427
movie10191	ex:featuresStrongCastPair	castPair425
movie10191	ex:featuresStrongCastPair	castPair388
movie10191	ex:featuresStrongCastPair	castPair386
movie10191	ex:featuresStrongCastPair	castPair390
movie10191	ex:featuresStrongCastPair	castPair389
movie10191	ex:featuresStrongCastPair	castPair387
movie10191	ex:featuresStrongCastPair	castPair583
movie10191	ex:featuresStrongCastPair	castPair545
movie10191	ex:featuresStrongCastPair	castPair547
movie10191	ex:featuresStrongCastPair	castPair546
movie324552	ex:featuresStrongCastPair	castPair469
movie324552	ex:featuresStrongCastPair	castPair166
movie324552	ex:featuresStrongCastPair	castPair165
movie533535	ex:featuresStrongCastPair	castPair24
movie533535	ex:featuresStrongCastPair	castPair23
movie533535	ex:featuresStrongCastPair	castPair116
movie583	ex:featuresStrongCastPair	castPair21
movie762	ex:featuresStrongCastPair	castPair21
movie166428	ex:featuresStrongCastPair	castPair563
movie166428	ex:featuresStrongCastPair	castPair562
movie166428	ex:featuresStrongCastPair	castPair309
movie166428	ex:featuresStrongCastPair	castPair311
movie166428	ex:featuresStrongCastPair	castPair307
movie166428	ex:featuresStrongCastPair	castPair306
movie166428	ex:featuresStrongCastPair	castPair310
movie166428	ex:featuresStrongCastPair	castPair308
movie166428	ex:featuresStrongCastPair	castPair426
movie166428	ex:featuresStrongCastPair	castPair428
movie166428	ex:featuresStrongCastPair	castPair427
movie166428	ex:featuresStrongCastPair	castPair425
movie166428	ex:featuresStrongCastPair	castPair388
movie166428	ex:featuresStrongCastPair	castPair390
movie166428	ex:featuresStrongCastPair	castPair386
movie166428	ex:featuresStrongCastPair	castPair389
movie166428	ex:featuresStrongCastPair	castPair387
movie166428	ex:featuresStrongCastPair	castPair583
movie166428	ex:featuresStrongCastPair	castPair545
movie166428	ex:featuresStrongCastPair	castPair547
movie166428	ex:featuresStrongCastPair	castPair546
movie82702	ex:featuresStrongCastPair	castPair563
movie82702	ex:featuresStrongCastPair	castPair562
movie82702	ex:featuresStrongCastPair	castPair309
movie82702	ex:featuresStrongCastPair	castPair307
movie82702	ex:featuresStrongCastPair	castPair311
movie82702	ex:featuresStrongCastPair	castPair306
movie82702	ex:featuresStrongCastPair	castPair310
movie82702	ex:featuresStrongCastPair	castPair308
movie82702	ex:featuresStrongCastPair	castPair426
movie82702	ex:featuresStrongCastPair	castPair428
