candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote,name_norm,year_str,genre_list,director_list,watchlist_priority,genre_boost,director_boost,genre_penalty,director_penalty,score
31473,An American Tail: The Treasure of Manhattan Island,1998.0,0.0,0.4571,0.1829,The Land Before Time VI: The Secret of Saurus Rock,1.0,0.0,0.04,0.0,0.9994,1.0,0.9952,0.9883,an american tail: the treasure of manhattan island,1998,[],[],False,False,False,False,False,0
9431,Bordello of Blood,1996.0,0.0,0.4575,0.183,Fright Night,1.0,0.0769,0.0256,0.0,0.8183,1.0,0.9995,0.9225,bordello of blood,1996,[],[],False,False,False,False,False,0
1887,Marie Antoinette,2006.0,0.0,0.4574,0.183,Luther,1.0,0.0667,0.0,0.0,1.0,1.0,0.9574,0.9248,marie antoinette,2006,[],[],False,False,False,False,False,0
29067,"Die, Monster, Die!",1965.0,0.0,0.4578,0.1831,Phase IV,1.0,0.0909,0.0,0.0,0.9802,1.0,0.9936,0.818,"die, monster, die!",1965,[],[],False,False,False,False,False,0
3131,Gangs of New York,2002.0,0.0,0.4578,0.1831,The Wolf of Wall Street,0.5,0.0,0.0256,1.0,0.9231,1.0,0.8087,0.8225,gangs of new york,2002,[],[],False,False,False,False,False,0
28176,Tucker: The Man and His Dream,1988.0,0.0,0.4581,0.1832,Erin Brockovich,1.0,0.1667,0.0,0.0,0.8007,1.0,0.8722,0.8217,tucker: the man and his dream,1988,[],[],False,False,False,False,False,0
6948,The Woods,2006.0,0.0,0.4593,0.1837,The Ritual,1.0,0.1,0.0,0.0,0.995,1.0,0.9396,0.852,the woods,2006,[],[],False,False,False,False,False,0
30278,Comfort and Joy,1984.0,0.0,0.4598,0.1839,The Inbetweeners Movie,1.0,0.0833,0.0,0.0,0.956,1.0,0.9776,0.9295,comfort and joy,1984,[],[],False,False,False,False,False,0
3980,Critters,1986.0,0.0,0.4602,0.1841,Slither,1.0,0.069,0.0,0.0,0.956,1.0,0.9898,0.983,critters,1986,[],[],False,False,False,False,False,0
9472,DodgeBall: A True Underdog Story,2004.0,0.0,0.461,0.1844,We're the Millers,0.5,0.0167,0.0,1.0,0.8353,1.0,0.9361,0.881,dodgeball: a true underdog story,2004,[],[],False,False,False,False,False,0
289211,Reel Rock 5,2010.0,0.0,0.4711,0.1884,Free Solo,1.0,0.0833,0.0556,0.0,0.995,1.0,0.9966,0.875,reel rock 5,2010,[],[],False,False,False,False,False,0
879,Hook,1991.0,0.0,0.4757,0.1903,E.T. the Extra-Terrestrial,0.6,0.0,0.0,1.0,0.6869,1.0,0.9952,0.8313,hook,1991,[],[],False,False,False,False,False,0
1029955,Kinds of Kindness,2024.0,0.0,0.4729,0.1892,The Lobster,0.6667,0.0,0.0,1.0,0.3247,1.0,0.9328,0.8678,kinds of kindness,2024,[],[],False,False,False,False,False,0
841,Dune,1984.0,0.3683,0.4558,0.4033,Star Wars: Episode I - The Phantom Menace,1.0,0.0625,0.0,0.0,0.9994,1.0,0.9569,0.909,dune,1984,[],[],False,False,False,False,False,0
3160,Frankenstein Conquers the World,1965.0,0.0,0.5554,0.2221,Godzilla,0.6667,0.1923,0.0811,1.0,0.9802,1.0,0.9497,0.7502,frankenstein conquers the world,1965,[],[],False,False,False,False,False,0
1192057,Nikolaj Stokholm: Jeg er stadig Nikolaj Stokholm,2023.0,0.0,0.5737,0.2295,Hannah Gadsby: Douglas,1.0,1.0,0.0,0.0,0.9231,0.0,0.9883,0.5625,nikolaj stokholm: jeg er stadig nikolaj stokholm,2023,[],[],False,False,False,False,False,0
290825,Yoga Hosers,2016.0,0.0,0.577,0.2308,Tusk,0.6667,0.0526,0.36,1.0,0.8517,1.0,0.9259,0.7777,yoga hosers,2016,[],[],False,False,False,False,False,0
