subject	predicate	object
person236695	ex:strongCastWith	person4
person236695	ex:strongCastWith	person93210
person236696	ex:strongCastWith	person58395
person23679	ex:strongCastWith	person31531
person23679	ex:strongCastWith	person31549
person23679	ex:strongCastWith	person34521
person23679	ex:strongCastWith	person34983
person23679	ex:strongCastWith	person52794
person2372	ex:strongCastWith	person4175
person240171	ex:strongCastWith	person2535
person240171	ex:strongCastWith	person589
person24264	ex:strongCastWith	person41091
person24264	ex:strongCastWith	person449
person24264	ex:strongCastWith	person54691
person24264	ex:strongCastWith	person59174
person24343	ex:strongCastWith	person3
person24343	ex:strongCastWith	person4
person24343	ex:strongCastWith	person6
person2440	ex:strongCastWith	person85
person2449	ex:strongCastWith	person378
person2449	ex:strongCastWith	person85
person25072	ex:strongCastWith	person4
person25072	ex:strongCastWith	person93210
person25136	ex:strongCastWith	person30315
person25136	ex:strongCastWith	person7060
person2535	ex:strongCastWith	person589
person25409	ex:strongCastWith	person49767
person25409	ex:strongCastWith	person912632
person2632	ex:strongCastWith	person28637
person2632	ex:strongCastWith	person5726
person2632	ex:strongCastWith	person6730
person2632	ex:strongCastWith	person7399
person2632	ex:strongCastWith	person9575
person27762	ex:strongCastWith	person3061
person27762	ex:strongCastWith	person524
person27762	ex:strongCastWith	person6
person27762	ex:strongCastWith	person7908
person27972	ex:strongCastWith	person2954
person27972	ex:strongCastWith	person55636
person27972	ex:strongCastWith	person57755
person27972	ex:strongCastWith	person72129
person27972	ex:strongCastWith	person9281
person27972	ex:strongCastWith	person96066
person28637	ex:strongCastWith	person5726
person28637	ex:strongCastWith	person6730
person28637	ex:strongCastWith	person7399
person28637	ex:strongCastWith	person9575
person2882	ex:strongCastWith	person73968
person2882	ex:strongCastWith	person9273
person2954	ex:strongCastWith	person55636
person2954	ex:strongCastWith	person57755
person2954	ex:strongCastWith	person72129
person2954	ex:strongCastWith	person9281
person2954	ex:strongCastWith	person96066
person2975	ex:strongCastWith	person530
person2975	ex:strongCastWith	person6384
person2983	ex:strongCastWith	person5472
person3	ex:strongCastWith	person4
person3	ex:strongCastWith	person6
person30082	ex:strongCastWith	person71580
person30315	ex:strongCastWith	person7060
person3061	ex:strongCastWith	person524
person3063	ex:strongCastWith	person3910
person31531	ex:strongCastWith	person31549
person31531	ex:strongCastWith	person34521
person31531	ex:strongCastWith	person34983
person31531	ex:strongCastWith	person52794
person31549	ex:strongCastWith	person34521
person31549	ex:strongCastWith	person34983
person31549	ex:strongCastWith	person52794
person3223	ex:strongCastWith	person74568
person3223	ex:strongCastWith	person9048
person32895	ex:strongCastWith	person52792
person32895	ex:strongCastWith	person60950
person32895	ex:strongCastWith	person884
person34199	ex:strongCastWith	person34982
person34199	ex:strongCastWith	person35109
person34199	ex:strongCastWith	person35224
person34199	ex:strongCastWith	person44052
person34199	ex:strongCastWith	person9601
person34398	ex:strongCastWith	person6574
person34398	ex:strongCastWith	person70615
person34398	ex:strongCastWith	person78798
person34398	ex:strongCastWith	person78799
person34521	ex:strongCastWith	person34983
person34521	ex:strongCastWith	person52794
person34982	ex:strongCastWith	person34983
person34982	ex:strongCastWith	person35109
person34982	ex:strongCastWith	person35224
person34982	ex:strongCastWith	person43125
person34982	ex:strongCastWith	person44052
person34982	ex:strongCastWith	person586496
person34982	ex:strongCastWith	person71447
person34982	ex:strongCastWith	person79020
person34982	ex:strongCastWith	person79021
person34982	ex:strongCastWith	person9601
person34983	ex:strongCastWith	person35109
person34983	ex:strongCastWith	person35224
person34983	ex:strongCastWith	person43125
person34983	ex:strongCastWith	person44052
person34983	ex:strongCastWith	person52794
person34983	ex:strongCastWith	person9601
person35109	ex:strongCastWith	person35224
person35109	ex:strongCastWith	person43125
person35109	ex:strongCastWith	person44052
person35109	ex:strongCastWith	person9601
person35224	ex:strongCastWith	person43125
person35224	ex:strongCastWith	person44052
person35224	ex:strongCastWith	person9601
person37034	ex:strongCastWith	person37035
person37034	ex:strongCastWith	person5012
person37035	ex:strongCastWith	person5012
person37632	ex:strongCastWith	person58873
person37632	ex:strongCastWith	person77795
person37632	ex:strongCastWith	person998225
person378	ex:strongCastWith	person85
person3796	ex:strongCastWith	person3798
person3894	ex:strongCastWith	person3895
person3894	ex:strongCastWith	person64
person3895	ex:strongCastWith	person64
person4	ex:strongCastWith	person6
person4	ex:strongCastWith	person93210
person40325	ex:strongCastWith	person77927
person40325	ex:strongCastWith	person77931
person40325	ex:strongCastWith	person77933
person40325	ex:strongCastWith	person77934
person40325	ex:strongCastWith	person81244
person40325	ex:strongCastWith	person83768
person40325	ex:strongCastWith	person84508
person40325	ex:strongCastWith	person90567
person40325	ex:strongCastWith	person9711
person41091	ex:strongCastWith	person449
person41091	ex:strongCastWith	person54691
person41091	ex:strongCastWith	person59174
person4173	ex:strongCastWith	person74568
person4173	ex:strongCastWith	person91606
person43125	ex:strongCastWith	person44052
person43125	ex:strongCastWith	person586496
person43125	ex:strongCastWith	person71447
person43125	ex:strongCastWith	person79020
person43125	ex:strongCastWith	person79021
person43125	ex:strongCastWith	person9601
person44052	ex:strongCastWith	person586496
person44052	ex:strongCastWith	person71447
person44052	ex:strongCastWith	person79020
person44052	ex:strongCastWith	person79021
person44052	ex:strongCastWith	person9601
person4483	ex:strongCastWith	person70851
person449	ex:strongCastWith	person54691
person449	ex:strongCastWith	person59174
person4566	ex:strongCastWith	person5469
person4566	ex:strongCastWith	person5658
person4566	ex:strongCastWith	person9191
person46029	ex:strongCastWith	person59333
person4783	ex:strongCastWith	person4784
person51329	ex:strongCastWith	person543261
person51329	ex:strongCastWith	person543530
person51329	ex:strongCastWith	person73457
person51329	ex:strongCastWith	person8691
person524	ex:strongCastWith	person74568
person53	ex:strongCastWith	person884
person530	ex:strongCastWith	person6384
person5309	ex:strongCastWith	person8784
person543261	ex:strongCastWith	person543530
person543261	ex:strongCastWith	person73457
person543261	ex:strongCastWith	person8691
person543530	ex:strongCastWith	person73457
person543530	ex:strongCastWith	person8691
person5469	ex:strongCastWith	person5658
person54691	ex:strongCastWith	person59174
person55636	ex:strongCastWith	person57755
person55636	ex:strongCastWith	person72129
person55636	ex:strongCastWith	person9281
person55636	ex:strongCastWith	person96066
person56551	ex:strongCastWith	person73040
person5723	ex:strongCastWith	person5724
person5723	ex:strongCastWith	person57599
person5724	ex:strongCastWith	person57599
person5726	ex:strongCastWith	person6730
person5726	ex:strongCastWith	person7399
person5726	ex:strongCastWith	person9575
person57711	ex:strongCastWith	person57713
person57711	ex:strongCastWith	person57714
person57711	ex:strongCastWith	person57715
person57711	ex:strongCastWith	person57800
person57713	ex:strongCastWith	person57714
person57713	ex:strongCastWith	person57715
person57714	ex:strongCastWith	person57715
person57714	ex:strongCastWith	person57800
person57715	ex:strongCastWith	person57800
person57755	ex:strongCastWith	person72129
person57755	ex:strongCastWith	person9281
person57755	ex:strongCastWith	person96066
person586496	ex:strongCastWith	person71447
person586496	ex:strongCastWith	person79020
person586496	ex:strongCastWith	person79021
person58873	ex:strongCastWith	person77795
person58873	ex:strongCastWith	person998225
person6	ex:strongCastWith	person7908
person6384	ex:strongCastWith	person6972
person6574	ex:strongCastWith	person70615
person6574	ex:strongCastWith	person78798
person6574	ex:strongCastWith	person78799
person6730	ex:strongCastWith	person7399
person6730	ex:strongCastWith	person9575
person6941	ex:strongCastWith	person776
person7060	ex:strongCastWith	person71580
person70615	ex:strongCastWith	person78798
person70615	ex:strongCastWith	person78799
person71447	ex:strongCastWith	person79020
person71447	ex:strongCastWith	person79021
person71580	ex:strongCastWith	person74568
person72129	ex:strongCastWith	person9281
person72129	ex:strongCastWith	person96066
person73457	ex:strongCastWith	person8691
person73457	ex:strongCastWith	person95101
person73968	ex:strongCastWith	person880
person73968	ex:strongCastWith	person90633
person73968	ex:strongCastWith	person9273
person7399	ex:strongCastWith	person887
person7399	ex:strongCastWith	person9575
person74568	ex:strongCastWith	person91606
person77795	ex:strongCastWith	person998225
person77927	ex:strongCastWith	person77931
person77927	ex:strongCastWith	person77933
person77927	ex:strongCastWith	person77934
person77927	ex:strongCastWith	person81244
person77927	ex:strongCastWith	person83768
person77927	ex:strongCastWith	person84508
person77927	ex:strongCastWith	person90567
person77927	ex:strongCastWith	person9711
person77931	ex:strongCastWith	person77933
person77931	ex:strongCastWith	person77934
person77931	ex:strongCastWith	person81244
person77931	ex:strongCastWith	person83768
person77931	ex:strongCastWith	person84508
person77931	ex:strongCastWith	person90567
person77931	ex:strongCastWith	person9711
person77933	ex:strongCastWith	person77934
person77933	ex:strongCastWith	person81244
person77933	ex:strongCastWith	person83768
