candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote,name_norm,year_str,genre_list,director_list,watchlist_priority,genre_boost,director_boost,genre_penalty,director_penalty,score
1850,Man on the Moon,1999.0,0.0,0.4551,0.182,BlackBerry,1.0,0.0333,0.0,0.0,0.9978,1.0,0.9893,0.982,man on the moon,1999,[],[],False,False,False,False,False,0
9352,EuroTrip,2004.0,0.0,0.455,0.182,Easy A,1.0,0.04,0.0,0.0,0.9994,1.0,0.9924,0.9483,eurotrip,2004,[],[],False,False,False,False,False,0
2566,Time to Leave,2005.0,0.0,0.4547,0.1819,It's Only the End of the World,1.0,0.125,0.0,0.0,0.7827,1.0,0.9868,0.8247,time to leave,2005,[],[],False,False,False,False,False,0
440907,David Hockney: A Bigger Picture,2009.0,0.0,0.4546,0.1819,David Lynch: The Art Life,1.0,0.1111,0.0,0.0,0.6869,1.0,0.9757,0.9857,david hockney: a bigger picture,2009,[],[],False,False,False,False,False,0
812284,A.rtificial I.mmortality,2021.0,0.0,0.4519,0.1808,AlphaGo,1.0,0.1667,0.0,0.0,0.8674,1.0,0.9948,0.51,a.rtificial i.mmortality,2021,[],[],False,False,False,False,False,0
10158,White Men Can't Jump,1992.0,0.0,0.4544,0.1818,Hustle,1.0,0.0952,0.0,0.0,0.9978,1.0,0.9812,0.728,white men can't jump,1992,[],[],False,False,False,False,False,0
2007,Lorenzo's Oil,1992.0,0.0,0.4543,0.1817,Erin Brockovich,1.0,0.0769,0.0,0.0,0.9912,1.0,0.8724,0.914,lorenzo's oil,1992,[],[],False,False,False,False,False,0
11129,Human Traffic,1999.0,0.0,0.4521,0.1808,Big Time Adolescence,1.0,0.0455,0.0,0.0,0.9651,1.0,0.9923,0.9025,human traffic,1999,[],[],False,False,False,False,False,0
11015,The Relic,1997.0,0.0,0.4514,0.1806,The Ritual,1.0,0.0714,0.0,0.0,0.8674,1.0,0.9415,0.933,the relic,1997,[],[],False,False,False,False,False,0
9424,Disturbing Behavior,1998.0,0.0,0.452,0.1808,The Void,1.0,0.0357,0.0,0.0,0.9802,1.0,0.9734,0.943,disturbing behavior,1998,[],[],False,False,False,False,False,0
1548,Ghost World,2001.0,0.0,0.4521,0.1808,The French Dispatch,1.0,0.0,0.0256,0.0,0.995,1.0,0.9564,0.9875,ghost world,2001,[],[],False,False,False,False,False,0
11004,Wonder Boys,2000.0,0.0,0.4495,0.1798,Alex Strangelove,1.0,0.0333,0.0,0.0,0.9231,1.0,0.9893,0.9438,wonder boys,2000,[],[],False,False,False,False,False,0
9400,Set It Off,1996.0,0.0,0.4495,0.1798,Uncut Gems,1.0,0.0513,0.0,0.0,0.9104,1.0,0.8763,0.9978,set it off,1996,[],[],False,False,False,False,False,0
28000,Somebody Up There Likes Me,1956.0,0.0,0.4494,0.1798,The Straight Story,1.0,0.0385,0.0,0.0,0.9994,1.0,0.9596,0.875,somebody up there likes me,1956,[],[],False,False,False,False,False,0
28292,Follow the Fleet,1936.0,0.0,0.4495,0.1798,Mamma Mia!,1.0,0.0488,0.0,0.0,0.9978,1.0,0.8456,0.9525,follow the fleet,1936,[],[],False,False,False,False,False,0
9519,Chopper,2000.0,0.0,0.4493,0.1797,Good Time,1.0,0.0333,0.0,0.0,0.9651,1.0,0.9988,0.8892,chopper,2000,[],[],False,False,False,False,False,0
3077,Son of Frankenstein,1939.0,0.0,0.4492,0.1797,Phase IV,1.0,0.0476,0.0,0.0,0.9104,1.0,0.9766,0.907,son of frankenstein,1939,[],[],False,False,False,False,False,0
11087,The Hand That Rocks the Cradle,1992.0,0.0,0.449,0.1796,One Hour Photo,1.0,0.04,0.0,0.0,0.8968,1.0,0.978,0.946,the hand that rocks the cradle,1992,[],[],False,False,False,False,False,0
24681,White Wedding,2009.0,0.0,0.4489,0.1796,Mamma Mia!,1.0,0.0833,0.0,0.0,0.8825,1.0,0.856,0.906,white wedding,2009,[],[],False,False,False,False,False,0
1966,Alexander,2004.0,0.0932,0.3092,0.1796,King Kong,0.5,0.0,0.0,0.0,0.9231,1.0,0.997,0.7648,alexander,2004,[],[],False,False,False,False,False,0
9358,Final Destination 2,2003.0,0.0,0.4488,0.1795,It Follows,1.0,0.037,0.0,0.0,0.935,1.0,0.9654,0.9277,final destination 2,2003,[],[],False,False,False,False,False,0
10948,The Fox and the Hound,1981.0,0.0,0.4484,0.1794,Tarzan,1.0,0.0455,0.0,0.0,0.9802,1.0,0.8724,0.9345,the fox and the hound,1981,[],[],False,False,False,False,False,0
11954,Lifeforce,1985.0,0.0,0.4486,0.1794,Alien Resurrection,1.0,0.04,0.0,0.0,0.9731,1.0,0.857,0.981,lifeforce,1985,[],[],False,False,False,False,False,0
1382,Me and You and Everyone We Know,2005.0,0.0,0.4484,0.1794,Little Miss Sunshine,1.0,0.0833,0.0,0.0,0.935,1.0,0.8724,0.827,me and you and everyone we know,2005,[],[],False,False,False,False,False,0
10896,Tin Men,1987.0,0.0,0.4485,0.1794,The Meyerowitz Stories (New and Selected),1.0,0.0,0.0,0.0,1.0,1.0,0.9878,0.983,tin men,1987,[],[],False,False,False,False,False,0
9382,Boys on the Side,1995.0,0.0,0.4481,0.1793,The Meyerowitz Stories (New and Selected),1.0,0.0,0.0,0.0,0.995,1.0,0.9927,0.9748,boys on the side,1995,[],[],False,False,False,False,False,0
1968,Fools Rush In,1997.0,0.0,0.4483,0.1793,Ticket to Paradise,1.0,0.0,0.0,0.0,0.9862,1.0,0.9909,0.9888,fools rush in,1997,[],[],False,False,False,False,False,0
1550,Pieces of April,2003.0,0.0,0.448,0.1792,The Meyerowitz Stories (New and Selected),1.0,0.0952,0.0,0.0,0.5863,1.0,0.9972,0.9965,pieces of april,2003,[],[],False,False,False,False,False,0
25319,The Masque of the Red Death,1964.0,0.0,0.448,0.1792,Shadow of the Vampire,1.0,0.0,0.0,0.0,0.9862,1.0,0.999,0.975,the masque of the red death,1964,[],[],False,False,False,False,False,0
9366,Donnie Brasco,1997.0,0.0,0.4477,0.1791,Inside Man,1.0,0.0278,0.0,0.0,0.9978,1.0,0.8796,0.965,donnie brasco,1997,[],[],False,False,False,False,False,0
471609,The Child Remains,2017.0,0.0,0.4477,0.1791,Velvet Buzzsaw,1.0,0.0,0.0,0.0,0.9802,1.0,0.9806,0.9932,the child remains,2017,[],[],False,False,False,False,False,0
1662,State of Grace,1990.0,0.0,0.4478,0.1791,Uncut Gems,1.0,0.0303,0.0,0.0,0.9994,1.0,0.8853,0.95,state of grace,1990,[],[],False,False,False,False,False,0
1538,Collateral,2004.0,0.0,0.4498,0.1799,Inside Man,1.0,0.0217,0.0,0.0,0.956,1.0,0.9936,0.959,collateral,2004,[],[],False,False,False,False,False,0
27996,Dr. Dolittle: Tail to the Chief,2008.0,0.0,0.4497,0.1799,Fat Albert,1.0,0.0,0.0256,0.0,0.9651,1.0,0.9759,0.95,dr. dolittle: tail to the chief,2008,[],[],False,False,False,False,False,0
25360,Jack the Giant Killer,1962.0,0.0,0.4498,0.1799,The Dark Crystal,1.0,0.0556,0.0,0.0,0.9994,1.0,0.9535,0.8205,jack the giant killer,1962,[],[],False,False,False,False,False,0
1209285,We Treat Women Too Well,2024.0,0.0,0.4513,0.1805,Look Who's Back,1.0,0.3333,0.0,0.0,0.8007,0.0,0.9793,0.9118,we treat women too well,2024,[],[],False,False,False,False,False,0
1162,The Miracle Worker,1962.0,0.0,0.4518,0.1807,The Straight Story,1.0,0.0303,0.0,0.0,0.9802,1.0,0.9838,0.95,the miracle worker,1962,[],[],False,False,False,False,False,0
11026,Exorcist: The Beginning,2004.0,0.0,0.4517,0.1807,The Exorcist,1.0,0.2059,0.0,0.0,0.9651,1.0,0.8329,0.4125,exorcist: the beginning,2004,[],[],False,False,False,False,False,0
