Date,Name,Year,Letterboxd URI,Rating
2021-07-13,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,3.5
2021-07-14,Signs,2002,https://boxd.it/26t2,4
2021-07-15,Starship Troopers,1997,https://boxd.it/2a7k,5
2021-07-15,The Village,2004,https://boxd.it/21iS,3
2021-07-16,One Hour Photo,2002,https://boxd.it/1YT2,3
2021-07-18,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,3.5
2021-07-20,Jaws,1975,https://boxd.it/2a5e,5
2021-07-21,The Lobster,2015,https://boxd.it/7tnw,3
2021-07-21,The Jungle Book,2016,https://boxd.it/8wjk,4
2021-07-22,Monster Hunter,2020,https://boxd.it/gnB6,1.5
2021-07-25,Tarzan,1999,https://boxd.it/18YO,4
2021-08-05,Neon Genesis Evangelion,1995,https://boxd.it/ptEI,5
2021-08-05,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,5
2021-08-05,Bolt,2008,https://boxd.it/1QXg,3.5
2021-08-13,Zootopia,2016,https://boxd.it/84xS,3
2021-08-13,Luca,2021,https://boxd.it/ipjC,3.5
2021-08-16,The Big Short,2015,https://boxd.it/ajZw,3.5
2021-08-20,The Fast and the Furious,2001,https://boxd.it/1XMu,3
2021-09-24,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2021-09-28,Hereditary,2018,https://boxd.it/hNVe,5
2021-09-30,Free Guy,2021,https://boxd.it/k8dm,2.5
2021-10-02,Dune,2021,https://boxd.it/fA7G,2.5
2021-10-06,Moonrise Kingdom,2012,https://boxd.it/2Wng,3
2021-10-07,Rushmore,1998,https://boxd.it/1TAO,5
2021-10-07,Bottle Rocket,1996,https://boxd.it/1PDa,3
2021-10-17,Venom,2018,https://boxd.it/b8wA,3.5
2021-10-23,Venom: Let There Be Carnage,2021,https://boxd.it/llco,3
2021-10-24,Megamind,2010,https://boxd.it/16Sk,4
2021-10-27,Hinterland,2021,https://boxd.it/vOiq,3
2021-11-03,War of the Worlds,2005,https://boxd.it/2bde,4
2021-11-05,Love and Monsters,2020,https://boxd.it/lJ6E,4.5
2021-11-15,The French Dispatch,2021,https://boxd.it/jLP8,4
2021-11-20,We're the Millers,2013,https://boxd.it/4srQ,3
2021-11-21,The Lego Batman Movie,2017,https://boxd.it/azp0,4.5
2021-11-22,Arrival,2016,https://boxd.it/aNGk,5
2021-11-23,American Psycho,2000,https://boxd.it/28Vs,2
2021-11-24,The Matrix,1999,https://boxd.it/2a1m,4.5
2021-11-25,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,3.5
2021-11-27,The Tomorrow War,2021,https://boxd.it/lE78,1
2021-12-05,Surf's Up,2007,https://boxd.it/1YKY,4
2021-12-06,Krampus,2015,https://boxd.it/8Wy6,3
2021-12-07,Adam Sandler: 100% Fresh,2018,https://boxd.it/iLhI,1.5
2021-12-07,Frankenweenie,2012,https://boxd.it/bPS,5
2021-12-08,The Social Network,2010,https://boxd.it/17ue,4
2021-12-21,The Witcher: Nightmare of the Wolf,2021,https://boxd.it/oNDI,3.5
2021-12-25,Coco,2017,https://boxd.it/bYJQ,3.5
2021-12-27,Spider-Man,2002,https://boxd.it/2a8i,3
2021-12-28,Spider-Man 2,2004,https://boxd.it/2a88,4
2021-12-29,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5
2021-12-31,Encanto,2021,https://boxd.it/kPRu,4
2022-01-03,The Amazing Spider-Man,2012,https://boxd.it/27PI,2
2022-01-14,Antlers,2021,https://boxd.it/iI50,3
2022-01-20,The House,2022,https://boxd.it/yVza,4
2022-01-25,The Conference,2022,https://boxd.it/ydjs,4.5
2022-01-28,Another Round,2020,https://boxd.it/lkba,5
2022-02-15,Man of Steel,2013,https://boxd.it/FRk,3
2022-02-16,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,4
2022-02-17,Suicide Squad,2016,https://boxd.it/9row,1.5
2022-02-19,Wonder Woman,2017,https://boxd.it/9roG,3.5
2022-02-20,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,5
2022-02-24,Justice League,2017,https://boxd.it/4w68,1
2022-02-25,Hannah Gadsby: Douglas,2020,https://boxd.it/nHni,5
2022-03-11,Aquaman,2018,https://boxd.it/9ru0,3.5
2022-03-12,The Batman,2022,https://boxd.it/eDGs,5
2022-03-15,Shazam!,2019,https://boxd.it/8WBu,5
