Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-07-10,A Quiet Place Part II,2020,https://boxd.it/1YVs8z,3.5,,"not as emotionally rich as the first one, but about equally as tense 
it felt like only half a movie tho, which is, ofc, due to the obvious sequel bait, but I think the movie suffers from it",,2021-07-09
2021-07-12,Whiplash,2014,https://boxd.it/1ZgR79,4.5,,he can play the drums we get it 🙄,,2021-07-12
2021-07-13,Kung Fu Panda 3,2016,https://boxd.it/1ZrcVf,3.5,,"a very worthy ending for po’s journey 

seriously how is this trilogy so freaking good",animation,2021-07-13
2021-07-14,Signs,2002,https://boxd.it/1Zyhux,4,Yes,my third rewatch and this movie is funnier than I remembered!!,mnightshyamalan,2021-07-13
2021-07-15,Starship Troopers,1997,https://boxd.it/1ZFzpT,5,,I got massive gender envy from those small red carrier bugs is that bad,,2021-07-14
2021-07-15,The Village,2004,https://boxd.it/1ZItI7,3,,another day of m. night shyamalan hating on mentally disabled people,mnightshyamalan,2021-07-15
2021-07-16,One Hour Photo,2002,https://boxd.it/1ZRuuj,3,,"yeah it’s good, just not very outstanding in any way. Also the ending exposition feels rushed. Robin Williams out of his element works very well tho.

(Also, why do I feel nostalgic for film photography now even tho I’m born in 2000???)",,2021-07-16
2021-07-18,The Life Aquatic with Steve Zissou,2004,https://boxd.it/206LQB,3.5,,1 and 1/2 stars deducted bc they just abandoned my man cody like that,wesanderson,2021-07-17
2021-07-20,Jaws,1975,https://boxd.it/20vfAB,5,,"the single worst thing that ever happened to sharks.

the effects are absolutely gorgeous, in 1975 as well as in 2021",,2021-07-20
2021-07-21,The Lobster,2015,https://boxd.it/20AqCX,3,,so you are telling me humanity has the technology to turn humans into other animals and people choose not to??????,,2021-07-20
2021-07-21,The Jungle Book,2016,https://boxd.it/20El6v,4,,uncanny valley mobster King Louie is both on my Top 10 Scariest Movie Monsters List and the reason why I’m not giving a 5 star rating,,2021-07-21
2021-07-22,Monster Hunter,2020,https://boxd.it/20M6Wx,1.5,,I swear to god during the whole first act I was rooting for the monsters,,2021-07-21
